0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:18:05 +0530] "GET /QuizApplication/quizapp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:18:05 +0530] "GET /QuizApplication/Reg.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:18:18 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3568
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:18:55 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3568
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:18:55 +0530] "GET /QuizApplication/quizapp.css HTTP/1.1" 200 1598
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:19:09 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3568
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:19:09 +0530] "GET /QuizApplication/quizapp.css HTTP/1.1" 200 1598
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:19:21 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3568
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:19:21 +0530] "GET /QuizApplication/Reg.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:19:21 +0530] "GET /QuizApplication/quizapp.css HTTP/1.1" 200 1595
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:22:36 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3568
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:22:36 +0530] "GET /QuizApplication/Reg.js HTTP/1.1" 200 1297
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:22:36 +0530] "GET /QuizApplication/quizapp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:24:04 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3568
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:24:04 +0530] "GET /QuizApplication/quizapp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:24:04 +0530] "GET /QuizApplication/Reg.js HTTP/1.1" 200 1359
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:24:23 +0530] "POST /QuizApplication/quizapp HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:24:27 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3568
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:24:27 +0530] "GET /QuizApplication/Reg.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:25:11 +0530] "POST /QuizApplication/quizapp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:25:15 +0530] "GET /QuizApplication/quizResult.jsp HTTP/1.1" 200 2327
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:25:16 +0530] "GET /QuizApplication/quizapp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:25:49 +0530] "GET /QuizApplication/WelcomePage.jsp HTTP/1.1" 200 937
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:30:37 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3568
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:30:37 +0530] "GET /QuizApplication/quizapp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:30:37 +0530] "GET /QuizApplication/Reg.js HTTP/1.1" 200 1456
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:31:18 +0530] "POST /QuizApplication/quizapp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:31:18 +0530] "GET /QuizApplication/quizResult.jsp HTTP/1.1" 200 2303
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:48:39 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3568
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:48:39 +0530] "GET /QuizApplication/quizapp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:48:39 +0530] "GET /QuizApplication/Reg.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:49:11 +0530] "POST /QuizApplication/quizapp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:49:11 +0530] "GET /QuizApplication/quizResult.jsp HTTP/1.1" 200 2309
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:49:28 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3568
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:49:56 +0530] "POST /QuizApplication/quizapp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:49:56 +0530] "GET /QuizApplication/quizResult.jsp HTTP/1.1" 200 2299
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:50:25 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3568
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:51:56 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3568
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:51:57 +0530] "GET /QuizApplication/quizapp.css HTTP/1.1" 200 1595
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:51:57 +0530] "GET /QuizApplication/Reg.js HTTP/1.1" 200 1519
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:51:57 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:53:13 +0530] "POST /QuizApplication/quizapp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:53:13 +0530] "GET /QuizApplication/quizResult.jsp HTTP/1.1" 200 2309
