127.0.0.1 - - [13/Apr/2023:07:12:16 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [13/Apr/2023:07:12:34 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3612
0:0:0:0:0:0:0:1 - - [13/Apr/2023:07:12:35 +0530] "GET /QuizApplication/quizapp.css HTTP/1.1" 200 2004
0:0:0:0:0:0:0:1 - - [13/Apr/2023:07:12:35 +0530] "GET /QuizApplication/Reg.js HTTP/1.1" 200 4806
0:0:0:0:0:0:0:1 - - [13/Apr/2023:07:12:36 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [13/Apr/2023:07:12:57 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3612
0:0:0:0:0:0:0:1 - - [13/Apr/2023:07:12:58 +0530] "GET /QuizApplication/quizapp.css HTTP/1.1" 200 2028
0:0:0:0:0:0:0:1 - - [13/Apr/2023:07:14:01 +0530] "GET /QuizApplication/quizResult.jsp HTTP/1.1" 200 2204
0:0:0:0:0:0:0:1 - - [13/Apr/2023:07:14:01 +0530] "GET /QuizApplication/quizapp.css HTTP/1.1" 200 2027
0:0:0:0:0:0:0:1 - - [13/Apr/2023:07:14:24 +0530] "GET /QuizApplication/quizResult.jsp HTTP/1.1" 200 2204
0:0:0:0:0:0:0:1 - - [13/Apr/2023:07:14:24 +0530] "GET /QuizApplication/quizapp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2023:07:15:08 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3615
0:0:0:0:0:0:0:1 - - [13/Apr/2023:07:15:08 +0530] "GET /QuizApplication/quizapp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2023:07:15:08 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [13/Apr/2023:07:15:48 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3615
0:0:0:0:0:0:0:1 - - [13/Apr/2023:07:15:48 +0530] "GET /QuizApplication/quizapp.css HTTP/1.1" 200 2027
0:0:0:0:0:0:0:1 - - [13/Apr/2023:07:15:48 +0530] "GET /QuizApplication/Reg.js HTTP/1.1" 200 4807
0:0:0:0:0:0:0:1 - - [13/Apr/2023:07:15:48 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [13/Apr/2023:07:16:44 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3615
0:0:0:0:0:0:0:1 - - [13/Apr/2023:07:16:44 +0530] "GET /QuizApplication/Reg.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2023:07:16:44 +0530] "GET /QuizApplication/quizapp.css HTTP/1.1" 200 2025
0:0:0:0:0:0:0:1 - - [13/Apr/2023:07:16:53 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3615
0:0:0:0:0:0:0:1 - - [13/Apr/2023:07:16:53 +0530] "GET /QuizApplication/quizapp.css HTTP/1.1" 200 2027
0:0:0:0:0:0:0:1 - - [13/Apr/2023:07:17:26 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3615
0:0:0:0:0:0:0:1 - - [13/Apr/2023:07:17:26 +0530] "GET /QuizApplication/Reg.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2023:07:17:26 +0530] "GET /QuizApplication/quizapp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2023:07:18:21 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3615
0:0:0:0:0:0:0:1 - - [13/Apr/2023:07:18:21 +0530] "GET /QuizApplication/quizapp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2023:07:18:21 +0530] "GET /QuizApplication/Reg.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2023:07:19:21 +0530] "GET /QuizApplication/quizResult.jsp HTTP/1.1" 200 2204
0:0:0:0:0:0:0:1 - - [13/Apr/2023:07:19:21 +0530] "GET /QuizApplication/quizapp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2023:07:19:55 +0530] "GET /QuizApplication/quizResult.jsp HTTP/1.1" 200 2204
0:0:0:0:0:0:0:1 - - [13/Apr/2023:07:19:55 +0530] "GET /QuizApplication/quizapp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2023:07:20:07 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3652
0:0:0:0:0:0:0:1 - - [13/Apr/2023:07:20:07 +0530] "GET /QuizApplication/Reg.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2023:07:21:07 +0530] "GET /QuizApplication/quizResult.jsp HTTP/1.1" 200 2204
0:0:0:0:0:0:0:1 - - [13/Apr/2023:07:21:07 +0530] "GET /QuizApplication/quizapp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2023:07:21:23 +0530] "GET /QuizApplication/quizResult.jsp HTTP/1.1" 200 2204
0:0:0:0:0:0:0:1 - - [13/Apr/2023:07:21:32 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3652
0:0:0:0:0:0:0:1 - - [13/Apr/2023:07:21:32 +0530] "GET /QuizApplication/Reg.js HTTP/1.1" 200 4808
0:0:0:0:0:0:0:1 - - [13/Apr/2023:07:29:40 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3696
0:0:0:0:0:0:0:1 - - [13/Apr/2023:07:29:40 +0530] "GET /QuizApplication/quizapp.css HTTP/1.1" 200 2137
