127.0.0.1 - - [03/Apr/2023:07:35:28 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [03/Apr/2023:07:35:53 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3360
0:0:0:0:0:0:0:1 - - [03/Apr/2023:07:35:53 +0530] "GET /QuizApplication/quizapp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:07:35:53 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [03/Apr/2023:07:43:48 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3787
0:0:0:0:0:0:0:1 - - [03/Apr/2023:07:43:48 +0530] "GET /QuizApplication/Reg.js HTTP/1.1" 200 967
0:0:0:0:0:0:0:1 - - [03/Apr/2023:07:45:14 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3421
0:0:0:0:0:0:0:1 - - [03/Apr/2023:07:45:14 +0530] "GET /QuizApplication/Reg.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:07:46:15 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3385
0:0:0:0:0:0:0:1 - - [03/Apr/2023:07:46:15 +0530] "GET /QuizApplication/Reg.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:07:48:36 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3385
0:0:0:0:0:0:0:1 - - [03/Apr/2023:07:48:36 +0530] "GET /QuizApplication/Reg.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:07:48:39 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3385
0:0:0:0:0:0:0:1 - - [03/Apr/2023:07:49:13 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3385
0:0:0:0:0:0:0:1 - - [03/Apr/2023:07:49:13 +0530] "GET /QuizApplication/Reg.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:07:49:15 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3385
0:0:0:0:0:0:0:1 - - [03/Apr/2023:07:49:15 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3385
0:0:0:0:0:0:0:1 - - [03/Apr/2023:07:49:59 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3385
0:0:0:0:0:0:0:1 - - [03/Apr/2023:07:49:59 +0530] "GET /QuizApplication/Reg.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:07:51:10 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3385
0:0:0:0:0:0:0:1 - - [03/Apr/2023:07:51:10 +0530] "GET /QuizApplication/quizapp.css HTTP/1.1" 200 1450
0:0:0:0:0:0:0:1 - - [03/Apr/2023:07:51:10 +0530] "GET /QuizApplication/Reg.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:07:51:10 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [03/Apr/2023:07:52:54 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3385
0:0:0:0:0:0:0:1 - - [03/Apr/2023:07:52:54 +0530] "GET /QuizApplication/Reg.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:07:53:16 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3385
0:0:0:0:0:0:0:1 - - [03/Apr/2023:07:53:16 +0530] "GET /QuizApplication/Reg.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:07:53:17 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3385
0:0:0:0:0:0:0:1 - - [03/Apr/2023:07:53:17 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3385
0:0:0:0:0:0:0:1 - - [03/Apr/2023:07:53:34 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3385
0:0:0:0:0:0:0:1 - - [03/Apr/2023:07:53:34 +0530] "GET /QuizApplication/Reg.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:07:53:35 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3385
0:0:0:0:0:0:0:1 - - [03/Apr/2023:07:53:35 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3385
0:0:0:0:0:0:0:1 - - [03/Apr/2023:07:53:36 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3385
0:0:0:0:0:0:0:1 - - [03/Apr/2023:07:53:46 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3385
0:0:0:0:0:0:0:1 - - [03/Apr/2023:07:53:46 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3385
